state_scid,school_name,district,county,locale,charter,magnet,title_1,num_students,pct_erw_benchmark_met_12,pct_math_benchmark_met_12,pct_erw_benchmark_met_11,pct_math_benchmark_met_11,pct_both_benchmarks_met_12,pct_both_benchmarks_11,free_reduced_lunch,sat_participation_rate
43696664333795.0,Abraham Lincoln High,San Jose Unified,Santa Clara County,City: Large,No,No,Yes,1725.0,80.0,51.88,63.83,43.03,50.0,40.9,0.5136231884057971,0.6364628820960698
19647331935121.0,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles County,City: Large,No,Yes,Yes,1103.0,51.18,33.86,49.15,34.46,30.71,28.81,0.9592021758839528,0.6608695652173913
19647330126615.0,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles County,City: Small,No,No,Yes,534.0,47.92,25.0,47.79,11.03,22.92,11.03,0.7303370786516854,0.6789667896678967
38684780119958.0,Academy (The)- SF @McAteer,San Francisco Unified,San Francisco County,City: Large,No,No,Yes,338.0,44.0,22.0,77.27,59.09,20.0,59.09,0.5266272189349113,0.4161849710982659
19647330126623.0,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles County,City: Small,No,No,Yes,494.0,66.04,32.08,61.95,23.01,28.3,23.01,0.6923076923076923,0.6916666666666667
19651361996321.0,Academy of the Canyons,William S. Hart Union High,Los Angeles County,Suburb: Large,No,No,No,406.0,94.12,84.31,100.00,92.05,84.31,92.05,0.13054187192118227,0.6650717703349283
7616300730283.0,Acalanes High,Acalanes Union High,Contra Costa County,Suburb: Large,No,No,No,1318.0,97.54,89.34,99.46,96.24,89.34,96.24,0.05007587253414264,0.46107784431137727
36679340125419.0,Adelanto High,Victor Valley Union High,San Bernardino County,Rural: Fringe,No,No,Yes,2007.0,53.92,14.71,38.31,9.58,13.73,9.3,0.8380667663178873,0.5129068462401796
56725465631619.0,Adolfo Camarillo High,Oxnard Union High,Ventura County,City: Small,No,No,No,2191.0,68.75,57.1,75.33,60.89,52.27,57.78,0.23596531264262893,0.7419056429232193
43696744338802.0,Adrian Wilcox High,Santa Clara Unified,Santa Clara County,City: Midsize,No,No,Yes,1974.0,91.51,79.25,74.55,56.62,77.36,54.55,0.3566362715298885,0.5296655879180151
19646831930080.0,Agoura High,Las Virgenes Unified,Los Angeles County,Suburb: Midsize,No,No,No,1916.0,92.54,82.84,95.17,85.02,81.34,84.06,0.11169102296450939,0.3578174186778594
1611190130229.0,Alameda High,Alameda Unified,Alameda County,Suburb: Large,No,No,No,1777.0,84.21,76.32,94.33,89.47,69.47,87.85,0.19977490151941474,0.4932279909706546
1611190106401.0,Alameda Science and Technology Institute,Alameda Unified,Alameda County,Suburb: Large,No,Yes,Yes,185.0,93.75,90.63,95.56,97.78,87.5,95.56,0.31891891891891894,0.8279569892473119
1611270130450.0,Albany High,Albany City Unified,Alameda County,Suburb: Large,No,No,No,1157.0,93.86,85.09,100.00,95.92,84.21,95.92,0.1495246326707001,0.46858168761220825
19647331933852.0,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles County,City: Large,No,Yes,Yes,2586.0,67.18,36.84,64.51,31.79,35.91,31.61,0.6724671307037896,0.7284991568296796
19757131930163.0,Alhambra High,Alhambra Unified,Los Angeles County,Suburb: Large,No,No,Yes,2354.0,73.88,56.34,83.51,63.08,51.87,59.5,0.6830926083262532,0.447993447993448
7617390730549.0,Alhambra Senior High,Martinez Unified,Contra Costa County,Suburb: Large,No,No,No,1217.0,89.87,75.95,92.68,82.93,75.95,80.49,0.2465078060805259,0.2937956204379562
27661592730109.0,Alisal High,Salinas Union High,Monterey County,City: Midsize,No,No,Yes,2988.0,52.16,33.19,67.61,44.37,28.88,39.44,0.8674698795180723,0.27601476014760146
30664643030574.0,Aliso Niguel High,Capistrano Unified,Orange County,Suburb: Large,No,No,No,3036.0,93.62,84.68,96.75,89.64,82.98,88.76,0.2028985507246377,0.37256176853055917
36676523630225.0,Alta Loma High,Chaffey Joint Union High,San Bernardino County,Suburb: Large,No,No,No,2518.0,71.0,46.32,83.33,62.6,43.72,60.98,0.5409054805401112,0.37120622568093387
